iter	Logloss
0	0.618402593
1	0.5551980656
2	0.5010310188
3	0.4596802681
4	0.4253504307
5	0.3978747783
6	0.3752191496
7	0.3562535826
8	0.3395638328
9	0.3260736351
10	0.3164003453
11	0.3081333983
12	0.3006461741
13	0.2940288421
14	0.2882303884
15	0.2835320673
16	0.2798310888
17	0.2766496014
18	0.2737071388
19	0.2711556199
20	0.2690638268
21	0.2674060992
22	0.2658784123
23	0.2646690824
24	0.2633422285
25	0.262400179
26	0.2615729069
27	0.2606829152
28	0.2598799311
29	0.2591151166
30	0.2585685879
31	0.2581345343
32	0.2577357134
33	0.2573188383
34	0.2568390229
35	0.2564856397
36	0.256131254
37	0.2558085189
38	0.2555497001
39	0.2552636913
40	0.2549785376
41	0.2546604714
42	0.2544437334
43	0.2542349316
44	0.254079869
45	0.2539124238
46	0.2538053589
47	0.2536664906
48	0.2535112963
49	0.2533327888
50	0.2531423938
51	0.2530480783
52	0.2529007134
53	0.2527422523
54	0.252656382
55	0.2525558688
56	0.2524466941
57	0.2523674428
58	0.2522307137
59	0.2521156521
60	0.2520439218
61	0.2519571485
62	0.2518443607
63	0.2517264831
64	0.2516852863
65	0.2515963312
66	0.2515493823
67	0.2514749482
68	0.2513998107
69	0.2513368148
70	0.2511829518
71	0.2511334775
72	0.251066029
73	0.2509971938
74	0.2509540662
75	0.2508981306
76	0.2508421487
77	0.2507916334
78	0.2507148346
79	0.2506798022
80	0.2506348048
81	0.2505870739
82	0.2505305839
83	0.2504814582
84	0.2504074134
85	0.250367671
86	0.2503388195
87	0.25029662
88	0.2502580358
89	0.2502040439
90	0.2501384626
91	0.250093371
92	0.250054665
93	0.2500264723
94	0.2499985817
95	0.2499281813
96	0.2498829537
97	0.2498531677
98	0.2498308916
99	0.2497848888
100	0.2497427641
101	0.2497137318
102	0.2496583577
103	0.24961939
104	0.2495494017
105	0.2494504544
106	0.2494313316
107	0.2494008475
108	0.2493265979
109	0.2492713443
110	0.2492496584
111	0.2492337954
112	0.2492226721
113	0.2491955337
114	0.2491619672
115	0.2491534927
116	0.2490966446
117	0.24908144
118	0.2490226317
119	0.2489360769
120	0.2488752438
121	0.2488467598
122	0.2488043211
123	0.2487788041
124	0.2487442627
125	0.2487162134
126	0.2486725962
127	0.2486359001
128	0.248611629
129	0.2485749331
130	0.2485507359
131	0.2485010478
132	0.2484744406
133	0.2484544202
134	0.2484178996
135	0.2483788692
136	0.2483602258
137	0.2483247304
138	0.2482857469
139	0.2482581959
140	0.2482394123
141	0.2481827722
142	0.2481655706
143	0.248142901
144	0.2481173742
145	0.2480914433
146	0.2480566308
147	0.2480009447
148	0.2479786714
149	0.2479262094
150	0.2478949504
151	0.2478785641
152	0.2478663119
153	0.2478404254
154	0.247820521
155	0.2477894618
156	0.2477526589
157	0.2477296684
158	0.2476971135
159	0.2476757839
160	0.2476438986
161	0.247597524
162	0.2475456416
163	0.2475143266
164	0.2474928481
165	0.2474703199
166	0.2474381871
167	0.2474257307
168	0.2474018853
169	0.2473691469
170	0.2473320849
171	0.2472800382
172	0.247247162
173	0.2472198771
174	0.2471836163
175	0.2471486444
176	0.2471078624
177	0.2470774928
178	0.2470508696
179	0.2470143485
180	0.2469920205
181	0.2469673
182	0.2469476579
183	0.2469090782
184	0.2468871043
185	0.2468678961
186	0.2468538044
187	0.2468112132
188	0.2467913944
189	0.2467793206
190	0.2467485021
191	0.2467213919
192	0.2466931196
193	0.24664963
194	0.2466316819
195	0.2466151148
196	0.2465701637
197	0.2465493109
198	0.2465188415
199	0.2464847227
200	0.2464411929
201	0.2463957755
202	0.2463736775
203	0.2463346165
204	0.2462990853
205	0.2462752954
206	0.2462561916
207	0.2462336913
208	0.2462166794
209	0.246187723
210	0.2461456515
211	0.2461041805
212	0.2460641539
213	0.2460421426
214	0.2460065325
215	0.2459694981
216	0.245951475
217	0.2459232143
218	0.2459111364
219	0.2458940005
220	0.2458727471
221	0.2458485973
