iter	Passed	Remaining
0	186	186090
1	288	144076
2	361	120263
3	434	108191
4	512	101912
5	582	96530
6	651	92401
7	728	90366
8	810	89285
9	892	88394
10	958	86175
11	1029	84734
12	1096	83242
13	1180	83158
14	1259	82682
15	1336	82176
16	1411	81634
17	1486	81071
18	1562	80653
19	1638	80263
20	1725	80424
21	1803	80191
22	1887	80179
23	1964	79870
24	2057	80234
25	2154	80718
26	2263	81579
27	2354	81747
28	2454	82198
29	2553	82552
30	2650	82837
31	2742	82974
32	2841	83265
33	2945	83693
34	3042	83895
35	3129	83804
36	3209	83526
37	3287	83223
38	3363	82891
39	3437	82508
40	3514	82208
41	3603	82187
42	3684	81994
43	3762	81741
44	3839	81486
45	3923	81372
46	3994	80987
47	4072	80763
48	4148	80519
49	4236	80490
50	4337	80714
51	4411	80430
52	4489	80226
53	4571	80087
54	4636	79669
55	4718	79545
56	4796	79347
57	4873	79145
58	4962	79140
59	5049	79108
60	5123	78864
61	5201	78693
62	5289	78677
63	5363	78441
64	5429	78098
65	5505	77911
66	5582	77741
67	5656	77528
68	5728	77289
69	5799	77057
70	5883	76983
71	5954	76743
72	6026	76525
73	6104	76391
74	6175	76167
75	6246	75950
76	6323	75802
77	6396	75610
78	6481	75561
79	6552	75356
80	6633	75258
81	6708	75100
82	6780	74907
83	6845	74651
84	6918	74480
85	6994	74334
86	7060	74099
87	7136	73962
88	7204	73741
89	7270	73516
90	7349	73410
91	7428	73315
92	7523	73371
93	7616	73409
94	7687	73229
95	7771	73186
96	7851	73088
97	7926	72953
98	7995	72771
99	8075	72678
100	8151	72557
101	8247	72609
102	8332	72567
103	8417	72519
104	8505	72500
105	8596	72498
106	8668	72342
107	8751	72276
108	8837	72243
109	8927	72230
110	8992	72020
111	9055	71797
112	9125	71630
113	9204	71539
114	9278	71403
115	9342	71194
116	9425	71137
117	9497	70987
118	9572	70871
119	9653	70792
120	9731	70696
121	9808	70592
122	9888	70507
123	9957	70342
124	10031	70223
125	10100	70060
126	10183	70000
127	10263	69921
128	10343	69838
129	10423	69759
130	10497	69637
131	10573	69525
132	10650	69426
133	10721	69290
134	10797	69180
135	10865	69027
136	10937	68895
137	11016	68814
138	11091	68706
139	11169	68611
140	11241	68487
141	11320	68402
142	11390	68260
143	11458	68113
144	11541	68053
145	11611	67919
146	11690	67835
147	11775	67788
148	11844	67650
149	11934	67629
150	12007	67510
151	12073	67358
152	12143	67224
153	12215	67104
154	12287	66984
155	12360	66872
156	12431	66751
157	12505	66641
158	12581	66549
159	12659	66462
160	12733	66354
161	12803	66228
162	12874	66108
163	12940	65967
164	13014	65860
165	13083	65733
166	13158	65633
167	13249	65617
168	13316	65477
169	13388	65366
170	13466	65284
171	13543	65198
172	13615	65088
173	13694	65011
174	13775	64941
175	13848	64835
176	13928	64763
177	14009	64696
178	14087	64613
179	14168	64545
180	14242	64447
181	14313	64330
182	14381	64207
183	14454	64102
184	14526	63995
185	14599	63892
186	14671	63785
187	14750	63710
188	14825	63614
189	14888	63472
190	14958	63357
191	15032	63262
192	15100	63139
193	15180	63069
194	15254	62972
195	15323	62859
196	15404	62792
197	15480	62703
198	15562	62639
199	15639	62557
200	15725	62509
201	15804	62435
202	15875	62327
203	15954	62254
204	16036	62189
205	16106	62081
206	16177	61974
207	16273	61964
208	16344	61859
209	16426	61793
210	16522	61782
211	16606	61725
212	16695	61688
213	16775	61614
214	16866	61582
215	16957	61550
216	17043	61499
217	17128	61440
218	17199	61336
219	17276	61253
220	17356	61181
221	17432	61090
222	17514	61024
223	17590	60938
224	17668	60858
225	17747	60780
226	17824	60697
227	17896	60598
228	17980	60538
229	18059	60461
230	18145	60407
231	18219	60312
232	18301	60246
233	18391	60205
234	18475	60142
235	18568	60111
236	18649	60040
237	18730	59970
238	18801	59866
239	18894	59831
240	18979	59773
241	19067	59723
242	19147	59649
243	19225	59567
244	19327	59558
245	19429	59551
246	19518	59502
247	19598	59426
248	19669	59325
249	19745	59237
250	19823	59155
251	19901	59074
252	19984	59006
253	20063	58927
254	20152	58877
255	20236	58812
256	20334	58789
257	20427	58749
258	20511	58683
259	20586	58591
260	20675	58540
261	20753	58456
262	20865	58469
263	20966	58451
264	21046	58373
265	21134	58318
266	21220	58258
267	21308	58201
268	21391	58130
269	21481	58079
270	21555	57984
271	21636	57910
272	21717	57832
273	21790	57737
274	21882	57689
275	21963	57613
276	22040	57527
277	22144	57512
278	22240	57473
279	22325	57409
280	22409	57339
281	22502	57292
282	22591	57238
283	22680	57179
284	22755	57087
285	22829	56994
286	22911	56919
287	22990	56836
288	23074	56768
289	23152	56684
290	23239	56621
291	23328	56564
292	23406	56478
293	23479	56383
294	23578	56349
295	23675	56309
296	23791	56314
297	23880	56255
298	23975	56211
299	24059	56138
300	24136	56050
301	24218	55975
302	24305	55910
303	24400	55864
304	24494	55814
305	24575	55736
306	24656	55658
307	24746	55599
308	24833	55533
309	24915	55456
310	24990	55364
311	25076	55296
312	25163	55230
313	25249	55163
314	25335	55094
315	25412	55007
316	25490	54921
317	25570	54838
318	25653	54766
319	25730	54677
320	25827	54632
321	25908	54553
322	25994	54484
323	26068	54389
324	26146	54303
325	26223	54216
326	26309	54147
327	26388	54064
328	26472	53990
329	26551	53908
330	26624	53812
331	26711	53744
332	26786	53654
333	26858	53556
334	26939	53476
335	27028	53413
336	27097	53311
337	27169	53214
338	27250	53134
339	27320	53033
340	27393	52938
341	27476	52864
342	27557	52785
343	27635	52701
344	27717	52623
345	27797	52542
346	27876	52459
347	27951	52369
348	28029	52284
349	28101	52187
350	28176	52098
351	28257	52019
352	28336	51937
353	28429	51880
354	28513	51806
355	28602	51740
356	28673	51645
357	28758	51572
358	28849	51511
359	28934	51439
360	29017	51364
361	29112	51308
362	29195	51232
363	29289	51175
364	29382	51116
365	29473	51055
366	29579	51018
367	29687	50985
368	29789	50940
369	29866	50853
370	29951	50780
371	30028	50693
372	30104	50605
373	30190	50532
374	30262	50437
375	30361	50386
376	30466	50346
377	30567	50298
378	30652	50224
379	30732	50142
380	30821	50074
381	30908	50003
382	30982	49911
